x y
0 1.877986873090134
1 1.0487235815130735
2 0.11327510203060757
3 -0.9703654006487354
4 -1.5357634841038688
5 -3.555842280675386
6 -3.9474333387310603
7 -5.265023032476647
8 -5.680061019992353
9 -7.169710540586128
10 -8.451017550962503
11 -9.292279180480492
12 -9.97362654961534
13 -11.554235043452064
14 -12.147218535173728
15 -13.144795624907692
16 -13.774067027257885
17 -15.021928223002831
18 -15.990730817060925
19 -17.178151585884894
20 -18.68230212697696
21 -18.80839894961187
22 -19.669055903805226
23 -20.441670629015526
24 -22.07924693980846
25 -23.20167047623942
26 -24.16109507080973
27 -24.87665822724543
28 -26.073798972243182
29 -26.842481966471556
30 -27.646865616063057
31 -28.802772837059045
32 -29.811864889133563
33 -30.819992693750365
34 -32.04765882892732
35 -33.67391434513021
36 -33.8877279074809
37 -34.7726038853986
38 -36.14021691465312
39 -37.127676445117395
40 -37.35752315573393
41 -38.41271957632861
42 -40.113887699237274
43 -41.31886031608574
44 -42.26130805152032
45 -43.13610375047755
46 -44.21207671539784
47 -45.06187762497053
48 -46.28358804061497
49 -47.20561953762332
